"train/episode","seed_42_20260617_224551_ddqn - train/loss","seed_42_20260617_224551_ddqn - train/loss__MIN","seed_42_20260617_224551_ddqn - train/loss__MAX","seed_42_20260617_224551_ddqn - _step","seed_42_20260617_224551_ddqn - _step__MIN","seed_42_20260617_224551_ddqn - _step__MAX"
"10","0.0548511395851771","0.0548511395851771","0.0548511395851771","10","10","10"
"20","0.04518220451673571","0.04518220451673571","0.04518220451673571","20","20","20"
"30","0.022439524888121072","0.022439524888121072","0.022439524888121072","30","30","30"
"40","0.02514309238519191","0.02514309238519191","0.02514309238519191","40","40","40"
"50","0.01522413445881715","0.01522413445881715","0.01522413445881715","50","50","50"
"60","0.01306022941256498","0.01306022941256498","0.01306022941256498","60","60","60"
"70","0.00924065935676201","0.00924065935676201","0.00924065935676201","70","70","70"
"80","0.011467581341663997","0.011467581341663997","0.011467581341663997","80","80","80"
"90","0.01026708472520113","0.01026708472520113","0.01026708472520113","90","90","90"
"100","0.01044629755302925","0.01044629755302925","0.01044629755302925","100","100","100"
"110","0.012701619952817314","0.012701619952817314","0.012701619952817314","110","110","110"
"120","0.009058004659230144","0.009058004659230144","0.009058004659230144","120","120","120"
"130","0.01116134020554313","0.01116134020554313","0.01116134020554313","130","130","130"
"140","0.009997771892668955","0.009997771892668955","0.009997771892668955","140","140","140"
"150","0.01032501343059156","0.01032501343059156","0.01032501343059156","150","150","150"
"160","0.011188311185313589","0.011188311185313589","0.011188311185313589","160","160","160"
"170","0.009329580944419527","0.009329580944419527","0.009329580944419527","170","170","170"
"180","0.012266264226387389","0.012266264226387389","0.012266264226387389","180","180","180"
"190","0.009728400966389281","0.009728400966389281","0.009728400966389281","190","190","190"
"200","0.010439479160974171","0.010439479160974171","0.010439479160974171","200","200","200"
"210","0.011223879456134478","0.011223879456134478","0.011223879456134478","210","210","210"
"220","0.015324558688601884","0.015324558688601884","0.015324558688601884","220","220","220"
"230","0.01608983185814103","0.01608983185814103","0.01608983185814103","230","230","230"
"240","0.017074238612290207","0.017074238612290207","0.017074238612290207","240","240","240"
"250","0.01650357131568146","0.01650357131568146","0.01650357131568146","250","250","250"
"260","0.01941775300400973","0.01941775300400973","0.01941775300400973","260","260","260"
"270","0.024814071333913626","0.024814071333913626","0.024814071333913626","270","270","270"
"280","0.022728335224454613","0.022728335224454613","0.022728335224454613","280","280","280"
"290","0.027898369033051575","0.027898369033051575","0.027898369033051575","290","290","290"
"300","0.024155631028804508","0.024155631028804508","0.024155631028804508","300","300","300"
"310","0.025463725063909516","0.025463725063909516","0.025463725063909516","310","310","310"
"320","0.023413553901747625","0.023413553901747625","0.023413553901747625","320","320","320"
"330","0.031143849730544036","0.031143849730544036","0.031143849730544036","330","330","330"
"340","0.04055384694947861","0.04055384694947861","0.04055384694947861","340","340","340"
"350","0.037611430108227546","0.037611430108227546","0.037611430108227546","350","350","350"
"360","0.04247040071935403","0.04247040071935403","0.04247040071935403","360","360","360"
"370","0.03627043929723789","0.03627043929723789","0.03627043929723789","370","370","370"
"380","0.03180376529711033","0.03180376529711033","0.03180376529711033","380","380","380"
"390","0.031311303120480936","0.031311303120480936","0.031311303120480936","390","390","390"
"400","0.03354530595494492","0.03354530595494492","0.03354530595494492","400","400","400"
"410","0.039618233952664804","0.039618233952664804","0.039618233952664804","410","410","410"
"420","0.03677085668286112","0.03677085668286112","0.03677085668286112","420","420","420"
"430","0.03905772159358534","0.03905772159358534","0.03905772159358534","430","430","430"
"440","0.04055928593852967","0.04055928593852967","0.04055928593852967","440","440","440"
"450","0.04028653854505665","0.04028653854505665","0.04028653854505665","450","450","450"
"460","0.05308801572084858","0.05308801572084858","0.05308801572084858","460","460","460"
"470","0.05699844955018273","0.05699844955018273","0.05699844955018273","470","470","470"
"480","0.05579921587195713","0.05579921587195713","0.05579921587195713","480","480","480"
"490","0.056109242848494195","0.056109242848494195","0.056109242848494195","490","490","490"
"500","0.060214454068877904","0.060214454068877904","0.060214454068877904","500","500","500"
"510","0.053420142703797927","0.053420142703797927","0.053420142703797927","510","510","510"
"520","0.04657383744338046","0.04657383744338046","0.04657383744338046","520","520","520"
"530","0.045899368425900186","0.045899368425900186","0.045899368425900186","530","530","530"
"540","0.0468558817548433","0.0468558817548433","0.0468558817548433","540","540","540"
"550","0.04437249807386069","0.04437249807386069","0.04437249807386069","550","550","550"
"560","0.04475289806808453","0.04475289806808453","0.04475289806808453","560","560","560"
"570","0.04170339167885385","0.04170339167885385","0.04170339167885385","570","570","570"
"580","0.045173885924641485","0.045173885924641485","0.045173885924641485","580","580","580"
"590","0.037235472934380016","0.037235472934380016","0.037235472934380016","590","590","590"
"600","0.03851055967561013","0.03851055967561013","0.03851055967561013","600","600","600"
"610","0.04401767124918307","0.04401767124918307","0.04401767124918307","610","610","610"
"620","0.05166000075682643","0.05166000075682643","0.05166000075682643","620","620","620"
"630","0.04627452883140295","0.04627452883140295","0.04627452883140295","630","630","630"
"640","0.05006015790603691","0.05006015790603691","0.05006015790603691","640","640","640"
"650","0.04688491669207754","0.04688491669207754","0.04688491669207754","650","650","650"
"660","0.047965024840934414","0.047965024840934414","0.047965024840934414","660","660","660"
"670","0.04502453181229419","0.04502453181229419","0.04502453181229419","670","670","670"
"680","0.047197079561695","0.047197079561695","0.047197079561695","680","680","680"
"690","0.049895290231522456","0.049895290231522456","0.049895290231522456","690","690","690"
"700","0.05085444397676386","0.05085444397676386","0.05085444397676386","700","700","700"
"710","0.04747905190984423","0.04747905190984423","0.04747905190984423","710","710","710"
"720","0.0515112023796391","0.0515112023796391","0.0515112023796391","720","720","720"
"730","0.04996825332460812","0.04996825332460812","0.04996825332460812","730","730","730"
"740","0.0541220292691819","0.0541220292691819","0.0541220292691819","740","740","740"
