"Step","format_copy_grpo - format_copy/completion_is_strictly_only_answer_xml_without_extra_text","format_copy_grpo - format_copy/completion_is_strictly_only_answer_xml_without_extra_text__MIN","format_copy_grpo - format_copy/completion_is_strictly_only_answer_xml_without_extra_text__MAX","format_copy_reinforce - format_copy/completion_is_strictly_only_answer_xml_without_extra_text","format_copy_reinforce - format_copy/completion_is_strictly_only_answer_xml_without_extra_text__MIN","format_copy_reinforce - format_copy/completion_is_strictly_only_answer_xml_without_extra_text__MAX"
"0","0.020833333333333332","0.020833333333333332","0.020833333333333332","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"1","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.041666666666666664"
"2","0.020833333333333332","0.020833333333333332","0.020833333333333332","0","0","0"
"3","0","0","0","0","0","0"
"4","0.020833333333333332","0.020833333333333332","0.020833333333333332","0.0625","0.0625","0.0625"
"5","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.041666666666666664","0.041666666666666664"
"6","0.14583333333333334","0.14583333333333334","0.14583333333333334","0","0","0"
"7","0.2708333333333333","0.2708333333333333","0.2708333333333333","0.020833333333333332","0.020833333333333332","0.020833333333333332"
"8","0.7916666666666666","0.7916666666666666","0.7916666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"9","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.3125","0.3125","0.3125"
"10","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.4583333333333333","0.4583333333333333","0.4583333333333333"
"11","1","1","1","0.7708333333333334","0.7708333333333334","0.7708333333333334"
"12","1","1","1","0.8125","0.8125","0.8125"
"13","1","1","1","0.875","0.875","0.875"
"14","1","1","1","0.9375","0.9375","0.9375"
"15","1","1","1","1","1","1"
"16","1","1","1","1","1","1"
"17","1","1","1","1","1","1"
"18","1","1","1","1","1","1"
"19","1","1","1","1","1","1"
"20","0.8958333333333334","0.8958333333333334","0.8958333333333334","1","1","1"
"21","0.7291666666666666","0.7291666666666666","0.7291666666666666","1","1","1"
"22","0.875","0.875","0.875","1","1","1"
"23","0.9583333333333334","0.9583333333333334","0.9583333333333334","1","1","1"
"24","0.9791666666666666","0.9791666666666666","0.9791666666666666","1","1","1"
"25","1","1","1","1","1","1"
"26","0.9791666666666666","0.9791666666666666","0.9791666666666666","1","1","1"
"27","0.9583333333333334","0.9583333333333334","0.9583333333333334","1","1","1"
"28","0.9583333333333334","0.9583333333333334","0.9583333333333334","1","1","1"
"29","0.8958333333333334","0.8958333333333334","0.8958333333333334","1","1","1"
"30","0.8958333333333334","0.8958333333333334","0.8958333333333334","0.8958333333333334","0.8958333333333334","0.8958333333333334"
"31","1","1","1","0.8958333333333334","0.8958333333333334","0.8958333333333334"
"32","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9375","0.9375","0.9375"
"33","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"34","0.8958333333333334","0.8958333333333334","0.8958333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"35","0.9791666666666666","0.9791666666666666","0.9791666666666666","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"36","1","1","1","0.8958333333333334","0.8958333333333334","0.8958333333333334"
"37","0.8958333333333334","0.8958333333333334","0.8958333333333334","1","1","1"
"38","0.9791666666666666","0.9791666666666666","0.9791666666666666","1","1","1"
"39","0.8958333333333334","0.8958333333333334","0.8958333333333334","0.9791666666666666","0.9791666666666666","0.9791666666666666"
"40","0.8958333333333334","0.8958333333333334","0.8958333333333334","1","1","1"
"41","0.9375","0.9375","0.9375","0.9583333333333334","0.9583333333333334","0.9583333333333334"
"42","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.9791666666666666","0.9791666666666666","0.9791666666666666"
"43","0.875","0.875","0.875","0.875","0.875","0.875"
"44","1","1","1","0.8541666666666666","0.8541666666666666","0.8541666666666666"
"45","0.9791666666666666","0.9791666666666666","0.9791666666666666","1","1","1"
"46","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.875","0.875","0.875"
"47","0.625","0.625","0.625","0.9375","0.9375","0.9375"
"48","0.75","0.75","0.75","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"49","0.8541666666666666","0.8541666666666666","0.8541666666666666","0.8125","0.8125","0.8125"
"50","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9583333333333334"
