"Step","cartpole_lb_rtg_na - Train_AverageReturn","cartpole_lb_rtg_na - Train_AverageReturn__MIN","cartpole_lb_rtg_na - Train_AverageReturn__MAX","cartpole_lb_na - Train_AverageReturn","cartpole_lb_na - Train_AverageReturn__MIN","cartpole_lb_na - Train_AverageReturn__MAX","cartpole_lb_rtg - Train_AverageReturn","cartpole_lb_rtg - Train_AverageReturn__MIN","cartpole_lb_rtg - Train_AverageReturn__MAX","cartpole_lb - Train_AverageReturn","cartpole_lb - Train_AverageReturn__MIN","cartpole_lb - Train_AverageReturn__MAX","cartpole_rtg_na - Train_AverageReturn","cartpole_rtg_na - Train_AverageReturn__MIN","cartpole_rtg_na - Train_AverageReturn__MAX","cartpole_na - Train_AverageReturn","cartpole_na - Train_AverageReturn__MIN","cartpole_na - Train_AverageReturn__MAX","cartpole_rtg - Train_AverageReturn","cartpole_rtg - Train_AverageReturn__MIN","cartpole_rtg - Train_AverageReturn__MAX","cartpole - Train_AverageReturn","cartpole - Train_AverageReturn__MIN","cartpole - Train_AverageReturn__MAX"
"0","23.54705810546875","23.54705810546875","23.54705810546875","24.937889099121094","24.937889099121094","24.937889099121094","23.821428298950195","23.821428298950195","23.821428298950195","23.710060119628906","23.710060119628906","23.710060119628906","21.95652198791504","21.95652198791504","21.95652198791504","21.680850982666016","21.680850982666016","21.680850982666016","28.864864349365234","28.864864349365234","28.864864349365234","22.413043975830078","22.413043975830078","22.413043975830078"
"1","35.17094039916992","35.17094039916992","35.17094039916992","34.57758712768555","34.57758712768555","34.57758712768555","32.38399887084961","32.38399887084961","32.38399887084961","28.446807861328125","28.446807861328125","28.446807861328125","33.54838562011719","33.54838562011719","33.54838562011719","29.08571434020996","29.08571434020996","29.08571434020996","30.058822631835938","30.058822631835938","30.058822631835938","22.909090042114258","22.909090042114258","22.909090042114258"
"2","42.536842346191406","42.536842346191406","42.536842346191406","42.76595687866211","42.76595687866211","42.76595687866211","45.21111297607422","45.21111297607422","45.21111297607422","36.08108139038086","36.08108139038086","36.08108139038086","40.599998474121094","40.599998474121094","40.599998474121094","41.75","41.75","41.75","38.61538314819336","38.61538314819336","38.61538314819336","27.16216278076172","27.16216278076172","27.16216278076172"
"3","52.22077941894531","52.22077941894531","52.22077941894531","44.076087951660156","44.076087951660156","44.076087951660156","52.45454406738281","52.45454406738281","52.45454406738281","47.30588150024414","47.30588150024414","47.30588150024414","43.5217399597168","43.5217399597168","43.5217399597168","55.68421173095703","55.68421173095703","55.68421173095703","50","50","50","28.52777862548828","28.52777862548828","28.52777862548828"
"4","61.287879943847656","61.287879943847656","61.287879943847656","47.66666793823242","47.66666793823242","47.66666793823242","62.65625","62.65625","62.65625","50.987342834472656","50.987342834472656","50.987342834472656","58.44444274902344","58.44444274902344","58.44444274902344","67.53333282470703","67.53333282470703","67.53333282470703","61.588233947753906","61.588233947753906","61.588233947753906","29.58823585510254","29.58823585510254","29.58823585510254"
"5","67.73332977294922","67.73332977294922","67.73332977294922","64.66129302978516","64.66129302978516","64.66129302978516","70.50877380371094","70.50877380371094","70.50877380371094","57.52857208251953","57.52857208251953","57.52857208251953","83.66666412353516","83.66666412353516","83.66666412353516","85.15384674072266","85.15384674072266","85.15384674072266","79.76923370361328","79.76923370361328","79.76923370361328","33.43333435058594","33.43333435058594","33.43333435058594"
"6","89.17778015136719","89.17778015136719","89.17778015136719","81.73469543457031","81.73469543457031","81.73469543457031","91.86363983154297","91.86363983154297","91.86363983154297","73.87272644042969","73.87272644042969","73.87272644042969","72.26667022705078","72.26667022705078","72.26667022705078","69","69","69","59.47058868408203","59.47058868408203","59.47058868408203","50.95000076293945","50.95000076293945","50.95000076293945"
"7","90.75555419921875","90.75555419921875","90.75555419921875","80.55999755859375","80.55999755859375","80.55999755859375","86.85106658935547","86.85106658935547","86.85106658935547","67.96610260009766","67.96610260009766","67.96610260009766","71.73332977294922","71.73332977294922","71.73332977294922","79.53845977783203","79.53845977783203","79.53845977783203","94.18181610107422","94.18181610107422","94.18181610107422","53.150001525878906","53.150001525878906","53.150001525878906"
"8","122.33333587646484","122.33333587646484","122.33333587646484","87.73912811279297","87.73912811279297","87.73912811279297","105.15384674072266","105.15384674072266","105.15384674072266","63.57143020629883","63.57143020629883","63.57143020629883","84.75","84.75","84.75","112","112","112","102.5999984741211","102.5999984741211","102.5999984741211","54.3684196472168","54.3684196472168","54.3684196472168"
"9","126.75","126.75","126.75","108.8648681640625","108.8648681640625","108.8648681640625","149.0370330810547","149.0370330810547","149.0370330810547","66.93333435058594","66.93333435058594","66.93333435058594","63.9375","63.9375","63.9375","91","91","91","72.8125","72.8125","72.8125","61.117645263671875","61.117645263671875","61.117645263671875"
