"Step","lunar_lander_lambda0 - Eval_AverageReturn","lunar_lander_lambda0 - Eval_AverageReturn__MIN","lunar_lander_lambda0 - Eval_AverageReturn__MAX","lunar_lander_lambda1 - Eval_AverageReturn","lunar_lander_lambda1 - Eval_AverageReturn__MIN","lunar_lander_lambda1 - Eval_AverageReturn__MAX","lunar_lander_lambda0.99 - Eval_AverageReturn","lunar_lander_lambda0.99 - Eval_AverageReturn__MIN","lunar_lander_lambda0.99 - Eval_AverageReturn__MAX","lunar_lander_lambda0.98 - Eval_AverageReturn","lunar_lander_lambda0.98 - Eval_AverageReturn__MIN","lunar_lander_lambda0.98 - Eval_AverageReturn__MAX","lunar_lander_lambda0.95 - Eval_AverageReturn","lunar_lander_lambda0.95 - Eval_AverageReturn__MIN","lunar_lander_lambda0.95 - Eval_AverageReturn__MAX"
"0","-180.6902618408203","-180.6902618408203","-180.6902618408203","-202.84210205078125","-202.84210205078125","-202.84210205078125","-218.80120849609375","-218.80120849609375","-218.80120849609375","-170.9506378173828","-170.9506378173828","-170.9506378173828","-178.92015075683594","-178.92015075683594","-178.92015075683594"
"1","-202.2504119873047","-202.2504119873047","-202.2504119873047","-145.36500549316406","-145.36500549316406","-145.36500549316406","-180.10818481445312","-180.10818481445312","-180.10818481445312","-147.89585876464844","-147.89585876464844","-147.89585876464844","-163.5042724609375","-163.5042724609375","-163.5042724609375"
"2","-233.4457550048828","-233.4457550048828","-233.4457550048828","-125.86859893798828","-125.86859893798828","-125.86859893798828","-162.75416564941406","-162.75416564941406","-162.75416564941406","-120.88028717041016","-120.88028717041016","-120.88028717041016","-201.5301055908203","-201.5301055908203","-201.5301055908203"
"3","-135.8950958251953","-135.8950958251953","-135.8950958251953","-134.67759704589844","-134.67759704589844","-134.67759704589844","-180.96224975585938","-180.96224975585938","-180.96224975585938","-123.28968048095703","-123.28968048095703","-123.28968048095703","-147.5608367919922","-147.5608367919922","-147.5608367919922"
"4","-209.10479736328125","-209.10479736328125","-209.10479736328125","-134.48464965820312","-134.48464965820312","-134.48464965820312","-187.08074951171875","-187.08074951171875","-187.08074951171875","-129.2673797607422","-129.2673797607422","-129.2673797607422","-162.11756896972656","-162.11756896972656","-162.11756896972656"
"5","-237.80322265625","-237.80322265625","-237.80322265625","-140.74420166015625","-140.74420166015625","-140.74420166015625","-159.4202423095703","-159.4202423095703","-159.4202423095703","-139.8059539794922","-139.8059539794922","-139.8059539794922","-174.93824768066406","-174.93824768066406","-174.93824768066406"
"6","-218.77320861816406","-218.77320861816406","-218.77320861816406","-123.77520751953125","-123.77520751953125","-123.77520751953125","-186.17056274414062","-186.17056274414062","-186.17056274414062","-115.531982421875","-115.531982421875","-115.531982421875","-248.08270263671875","-248.08270263671875","-248.08270263671875"
"7","-186.22120666503906","-186.22120666503906","-186.22120666503906","-150.66038513183594","-150.66038513183594","-150.66038513183594","-138.0915069580078","-138.0915069580078","-138.0915069580078","-126.5294418334961","-126.5294418334961","-126.5294418334961","-211.726318359375","-211.726318359375","-211.726318359375"
"8","-142.6926727294922","-142.6926727294922","-142.6926727294922","-134.51536560058594","-134.51536560058594","-134.51536560058594","-156.60523986816406","-156.60523986816406","-156.60523986816406","-124.25067138671875","-124.25067138671875","-124.25067138671875","-166.3829803466797","-166.3829803466797","-166.3829803466797"
"9","-163.29190063476562","-163.29190063476562","-163.29190063476562","-101.5007095336914","-101.5007095336914","-101.5007095336914","-142.62075805664062","-142.62075805664062","-142.62075805664062","-120.843017578125","-120.843017578125","-120.843017578125","-133.07376098632812","-133.07376098632812","-133.07376098632812"
