"Step","mse - eval/mean_reward","mse - eval/mean_reward__MIN","mse - eval/mean_reward__MAX"
"10000","0.4424810376518971","0.4424810376518971","0.4424810376518971"
"20000","0.5384012212543792","0.5384012212543792","0.5384012212543792"
"30000","0.6139230169178995","0.6139230169178995","0.6139230169178995"
"40000","0.6108937361748132","0.6108937361748132","0.6108937361748132"
"50000","0.5798156898914105","0.5798156898914105","0.5798156898914105"
"60000","0.6618387283415708","0.6618387283415708","0.6618387283415708"
"70000","0.6538394414050483","0.6538394414050483","0.6538394414050483"
"80000","0.6406599151812248","0.6406599151812248","0.6406599151812248"
"90000","0.5534746820990519","0.5534746820990519","0.5534746820990519"
"100000","0.6293721151764239","0.6293721151764239","0.6293721151764239"
"110000","0.596272906692177","0.596272906692177","0.596272906692177"
"120000","0.6780720265629283","0.6780720265629283","0.6780720265629283"
"130000","0.6482678390546645","0.6482678390546645","0.6482678390546645"
